Facility Name (alternative name),Facility Key Number
Milnerton Traffic Office,10862
Hillary Close Pump Station,10893
Hillstar Municipal Complex,10921
Pump Station: Houtbay Chapmans Peak,10932
Pump Station: Bruce Rd Lotus River,10963
Kuils River Municipal Building,10978
Kraaifontein Cemetery,10980
"OHS Offices, Reed Street 3",11002
Khayelitsha Resource Centre and Lingelethu Drivers License Testing Centre,11009
Bellville South Municipal Buildings/City Parks Bellville South,11012
Goodwood Library,11031
Hendon Poppin Pump Station,10905
Ascot Pump Station,10925
Wynberg Waste Drop off site,10958
Pump Station: Bellville Broadway,10984
Site B Khayelitsha Old Municipal Building,11032
Heideveld Sewage Station,11075
Maitland Cemetery,11083
Pump Station: Civic Centre F7,11114
Rochester Road Municipal Building,11119
Edith Stephens Nature Reserve,11174
Newlands City Parks Depot,11206
Strand Library,34408118
Somerset West Municipal Building,10878
Gordons Bay Waste Drop-Off,10891
Pump Station: Mostert Bay ,10902
Durbanville Nature Reserve,11024
"Fishhoek Pump Station No 9, Simons Town Main Road",11037
"Fishhoek Pump Station No. 7, Valley Walk",11043
Vygieskraal Stadium,11068
Merrydale City Parks,11133
Royal Observatory Sewage Pump,11149
Mowbray Town Hall,11166
Rondevlei Nature Reserve ,11227
Grassy Park Substation,11887
Macassar WWTW,10900
Muizenberg Electricity Depot,10942
"Pump Station: Simonstown 11, Dido Valley",10945
"Fishhoek PS no 1, Main Rd",11040
Pump Station: Fishhoek 2,11041
Pump Station: Simonstown,11052
"Kommetjie Pump Station No. 18, Nerina Avenue",11063
Pinelands Municipal Building,11079
Strand Street Concourse,11178
Newlands Electricity Network Centre,11190
Wesfleur WWTW,11861
Fisantekraal WWTW,11873
OHS Clinic Gordons Bay,10873
Pump Station: Gauman Beach,10876
Pump Station: Fishhoek Clovelly,10910
Kendal Road Water Reticulation Depot,10928
"Jubilee Square Pump Station, Simonstown",10946
Bellville Fire Station,10996
Goodwood Dirkey Uys Clinic,11030
Bonteheuwel Metro Police Station,11035
Simonstown Pump Station No. 4,11046
Mitchells Plain Electricity Depot,11126
52 Wale Street,11147
Langa Sport Ground,11163
"Milnerton Municipal Building, Pienaar Road",10861
Pump Station: Klip Road,10959
Nazeema Isaacs Library,10982
Ficus Building,11029
Tidal Pool Sewage Pump Station ,11087
Pump Station: Civic Centre G4,11113
Zone 8 Bath House,11141
Green Point Outfall,11144
Broad Mount Substation,11151
Bunga Square Bath House,11173
Pump Station: Newlands Rugby ,11202
Town Two Clinic,11230
Pump Station: Sunset Links 2,10864
Spyker Street Municipal Depot  - Carpenter workshop,10880
Spyker Street Municipal Depot  - Stores,10882
Strand City Parks Depot,10906
"Section 10, Joanne Road, Lotus River  ",10909
Pump Station: Kommetjie Beach,11064
Ndabeni Electricity Depot & Workshops,11078
Berkley Muncipal Building (Abbatoir),11088
Lower Burg Road Pump Station,11104
"Mnandi Beach Pump Station, Mitchells Plain (Life Savers)",11109
Langa Swimming Pool,11127
Pump Station: VillaVia,10907
"Fishhoek Pump Station, Tennis Court",10918
Mfuleni Fire Station,11028
"Houtbay Pump Station, Disa Road",11059
Pump Station: Mowbray Subway,11150
"Melcksloot Pump Station, Sasol Garage Main Road",11224
Suikerbossie Pump station,11249
Cape Town Company Gardens,11885
Newfields Estate Satelite Clinic,11909
Woodstock Community Hall,11917
Woodstock Waste Management Facility,11944
Hanover Park Library,11952
Pump Station: Sunset Beach 3,10867
Somerset West Fire Station,10884
Goodwood Environmental Health Office ,11025
Simonstown Pump Station no. 5,11051
Belhar Waste Drop Off Site,11235
Pump Station: Coen Steytler 2,11248
Atlantis Electricity Depot,11879
Fish Hoek Museum,11891
Hanover Park Civic Centre,11937
Molteno Pump Station,11939
Fleur Park Pump Station,11942
Langa Library,11970
Sunset beach PS 4,10868
"Kommetjie Pump Station No. 13, Pelican Place",10911
Bellville Civic: Municipal Building,10992
Morningstar Community Hall,11011
Pump Station: Houtbay Princess,11060
Alphen Municipal Building/ Alphen Centre,11062
"Kommetjie Pump Station No. 11, Teal Close",11066
Pump Station: Albion Springs,11067
Pump Station: Koeberg railway,11077
Athlone Electricity Facility,11080
Pump Station: Freeway Park Road,11116
Parade Chalets Sewage Station,11120
Pump Station: Molteno/Oranjezight ,11125
Potsdam WWTW,10859
Bikini Beach (Beach at Harbour),10875
Pump Station: Sarel Cilliers Street,10903
Fish Hoek Clinic,10916
"Simonstown Pump Station no. 7, Main Road",11050
Sea Point City Parks Depot,11142
Pump Station: Pinelands,11154
Ndabeni City SCM Engineers Stores ,11171
Sea Point Swimming Pool,11904
Wesfleur Municipal Building,11914
Lansdowne Library,11920
Spyker Street Municipal Depot  - City Parks ,10881
Houtbay Pump Station Harbour Road,10930
"Zevenwacht P/S, Kuils River",10976
Milnerton Library ,11034
Llandudno Pump Station Sandy beach,11038
Athlone City Parks,11071
Heinz Park Sewage Pump,11131
Green Point Screen Pump Station,11135
Borcherds Quarry WWTW,11856
Green Point Athletics Track,11902
Diep River Clinic,11911
Cape Town City Hall,12003
Cowrie Road Pump Station,10866
Somerset West Electricity Depot,10883
Hout Bay Resevoir,10947
Pump Station: Houtbay ,10962
Omni Forum Municipal Building,10977
Kuils River Depot: Fire Station,10979
"Simonstown Pump Station No. 2, Wharf Street",11048
"Kommetjie Pump Station 12, Arum Road",11065
Oudekraal WWTW Outfall,11159
Schotschekloof Hall,11181
Faure Water Treatment Plant,11250
Maitland Clinic: TB Unit,11919
Strand Clinic,10888
Kommetjie Waste Drop Off ,10926
Fish Hoek MTN Tower,10929
"Simonstown Pump Station, Seaforth Beach",10948
Hardekraaltjie Caravan Park,10986
"OHS Offices, Reed Street 2 ",11001
Goodwood Municipal Building,11005
Pump Station: Simonstown 16,11053
Hudson Street Metro Police,11105
Pump Station: Mnandi Beach,11107
"Maidens Cove Pump Station, Victoria Rd",11156
Ndabeni Mechanical Workshop,11172
"Kommetjie Pump Station No. 17, off Lighthouse Road",10912
Muizenberg Library,10943
Masakhane Library,11014
Pump Station: Simonstown 14,11045
Pump Station: Luchannon Strandfontein,11115
Pump Station: Blue Waters Stranfontein Pavillion ,11161
Mowbray Electricity Depot,11168
Ndabeni Fleet Operations Workshops,11170
Miller's Point WWTW Outfall,11871
Hartleyvale Stadium,11884
Facreton Clinic,11908
Wynberg Library,11935
Lotus River Pump Station,10908
Bracken Nature Reserve,10973
Mayenzeke Clinic,10983
Goodwood Magistrate Court,11004
Parow Law Enforcement,11016
Durbanville Municipal Building & Library,11033
"Glen Beach Sewage Pump Station, Victoria Road",11089
Cape Town Civic Centre,11092
"Long Street Sewer Station, next to SARS",11122
"Bakoven Pump Station, Victoria Road",11123
"Pump Station: Alps Circle, Cearige Park, Mitchells Plain ",11162
"Punters Way Sewage Station, Kenilworth",11177
Somerset West Library,10879
Wentworth Close Pump Station ,10886
Strand Municipal Building ,10889
Pump Station: Alex Pienaar,10892
Noordhoek Municipal Offices,10960
"OHS Offices, Bellville, Reed Street 1",10993
Pump Station: Parow,11026
Chris Hani Hall,11027
"Fish Hoek Complex, Library, Hall,DLTC,Traffic",11039
Muizenberg City Parks Depot,11054
Observatory Community Centre,11197
Site C Municipal Building  (New Hall),11008
Stocks & Stocks Municipal Buildings,11018
"Fish Hoek Complex (Sub Council, DRM, Fire Station & House)",11042
Pump Station: Simonstown 1,11047
Nyanga Municipal Buildings,11072
Cape Town Swimming Pool,11073
Beta Road Sewage Pump Station (Bakoven),11117
Green Point Park,11121
Clifton 4 Sewage Pump Station,11158
Ndabeni Library  (Technical Depot),11167
Langa Municipal Buildings,11196
"Jan Smuts Sewage Pump Station, Jan Smuts Rd",11225
Harmony Park,10895
Browns Farm Depot,11118
"New Market Street Sewage Pump Station, Cnr Eastern Boulevald Rd",11140
Zone 10 Bath House,11148
Ebenezer Transport Depot,11175
Green Point Park East Gate,11189
Bantry Court Sewage Station,11200
Bloemhof Electricity Headquarters,11876
Sea Point Community Hall,11883
Kommetjie Pump Station 19 (Milkwood),11899
Bishop Lavis Library,11967
Westridge Clinic,11980
Somerset West Clinic,10877
"Fishhoek Pump Station Circle, Kenwood Road",10927
Wynberg Electricity Depot,10950
Osborne Municipal Building,11013
Riverton Electricity Clinic,11069
Gallows Hill Traffic Department,11091
Papu Square Bath House,11124
Monwabisi Sports and Recreational Centre,11128
Cullinan Pump Station,11130
Rondebosch City Parks Depot,11184
Langa Civic Hall,11195
Pump Station: Sunset Beach 1,10865
Gustrouw Sportsground,10896
Gordons bay Traffic Department,10898
Moses Mabhida Library,11007
Parow Municipal Building and Civic Hall,11017
Luvuyo Clinic,11023
Rosmead Electricity Depot,11201
Royal Ascot Municipal Office,11244
Parow Electricity Depot,11863
Trafalgar City Parks Depot,11886
Ottery Library,11931
Pump Station: Sunset Links 1,10863
Gordon's Bay WWTW,10885
Van Riebeeck Pump Station ,10894
Maynardville City Parks Depot,10938
Piers Road Building,10940
Muizenberg Clinic,10941
Makhaza Municipal Building,10981
Matthew Goniwe Clinic,11003
Simons Town Municipal Building,11044
Ottery Municipal Building ,11055
Keller House Municipal Building,11132
Zone 22 Bath House,11160
"Da Gama Street Pump Station, Beach Road, Strand",10897
Macassar Municipal Building,10904
"Fishhoek Pump Station Sports Field, Nelson Road",10913
Brackenfell Municipal Complex,10966
Water and Sanitation Headquarters,10985
Mfuleni Municipal Buildings,11019
"Fishhoek Pump Station No. 1, Main Road",11036
Pump Station: Pelican Park 1,11061
"Pump Station: Civic Centre A1, Inside Civic Centre",11111
Alex Pirie (50 Wale),11146
Athlone WWTW,11205
Langa Indoor Sports Centre,11242
"Turnberry Close Pump Station, Gordons Bay",10887
Strand Town Hall,10890
Plumstead Municipal Building ,10919
Kraaifontein Admin & Library,10964
Pump Station: Civic Center F5,11110
Mowbray Library ,11165
Biodiversity Showcase Garden,11192
Gugulethu Electricity Depot,11193
Zeekoevlei Nature Reserve,11226
Constantia Nek Water Treatment Plant,11241
Pump Station: Coen Steytler 1,11247
Kuyasa Library,11903
Parkwood Clinic,11921
Westlake Clinic,11922
Bellville South New Community Centre,11955
Strandfontein Library,11963
Valhalla Park Library,11965
Tafelsig Library,11989
Coniston Park Recreation Centre,12133
Masiphumelele Community Hall,12194
Bothasig Community Hall,12221
Kuils River Community Hall,12222
Ndabeni Fleet Headquarters,11169
Voelvlei Water Treatment Plant,11256
Cape Flats WWTW,11875
Observatory Swimming Pool,11889
Kommetjie Pump Station 16 (Silvermine),11901
Protea Park Clinic,11966
Vredehoek Library,12014
Mfuleni Clinic,12063
Westridge Civic Centre,12075
Mfuleni Library,12128
Emthonjeni Swimming Pool,12210
Nolungile Clinic,11862
Beresford Road Pump Station,12026
Kannemeyer Street Pump Station,12030
Atlantis Depot,12045
Klip Road Clinic,12093
Colorado Civic Hall,12105
Retreat Indoor Swimming Pool,12116
Langa Interchange Sewage Pump Station,12134
Manenberg Community Centre,12157
14th Avenue Sport Ground,12209
Doublom Substation,12275
Durbanville PTI,12278
44 Wale Street,11152
Schotschekloof Clinic,11180
Wynberg Reservoir Water Treatment Plant,11233
Goodwood Transport Management Centre ,11234
Harare Municipal Building (MVR)/ Harare Square,11245
Brackenfell Training Centre,11877
Simonstown Pump Station 6,11900
Killarney Works Yard,11927
Suider Strand Library,11964
Rylands Library,11974
Khayelitsha Fire Station,11232
Mamre Library,11915
Wemmershoek Water Treatment Plant,11947
Oranjezicht Sub Station,11949
Valhalla Park Community Hall,11968
Rocklands Civic Centre,11976
Beacon Way Pump Station,12034
Saunders Rock Pump Station,12079
Gustrouw Clinic,12089
Manenberg Clinic,12103
Everite Pump Station,12140
Ocean City My City Station,12235
Green Point Sewage Pump Station: F2,11134
"Clifton 3 Pump Station, Beach Road",11157
Mitchells Plain Library,11218
Pump Station: Millers Point,11229
Spine Road Pump Station,11993
Salt River Industrial Pump Station,12001
Botterblom Street Pump Station,12028
Abatoir Sports Ground,12048
Mitchells Plain Fire Station,12080
Manenberg Library,12104
Retreat Community Centre,12160
Kensington Swimming Pool,12177
Fish Hoek Pump Station 6,11897
Perlemoen Road Pump Station,12029
Stock Street Sub Station,12054
Boston Pump Station,12057
Wharf Street Pump Station,12077
Karbonkelberg Flats Sewage Pump Station,12078
Kewtown Cash Office,12086
Lentegeur Civic Centre,12187
Constantia Fire Station,12207
Silverstroom Resort Water Treatment Plant,12232
Athlone Refuse Transfer Station - Pulverising Plant Substation,12259
Atlantis Transport Depot,12263
De Grendal Road Substation,12273
Edgemead Library,11981
Grassy Park Library,11983
Kuilsrivier Reservoir,12053
Bellville South Swimming Pool,12061
Parow Links Pump Station,12068
Wildeboom Pump Station,12071
Brackenfell Water Booster Pump Station,12072
William Herbert Sports Ground,12118
Atlantic Beach Drive Pump Station,12125
Bonteheuwel Swimming Pool,12176
Maitland Clinic,12186
Weltevereden Library,12213
Hartleyvale Sewage Station,11187
Wildevoelvlei WWTW,11859
Wynberg Clinic,11910
Eastridge Clinic,11962
Gordon's Bay Library,11982
Kensington Library,11987
Blomtuin Reservoir and Depot,12064
Royal Road Sports Ground,12081
Rocklands Library,12083
Steenberg Community Centre,12180
FF Erasmus Community Hall,12189
Welgemoed Reservoir,12233
Nelson Mandela Family and Youth Centre,12251
Durbanville Fire Station,12276
Kloofnek Filtration Plant,12292
Rooikrans Sports Field (Tennis courts),12306
Wittebome Civic Centre (Wynberg Town Hall),12317
Coniston Park Pump Station ,12333
Kogglelfontein Fresh Water Pump Station,12360
Lagoon Mouth Pump Station,12364
Meadow Road Pump Station (Palm Site Pump Station),12375
Newlands Nursery/Reservoir Pump Station,12383
Piet My Vrou Road Pump Station,12392
Bantry Bay Kloof Road Sub Station,11948
Valhalla Park Clinic,11979
Sybrand Road Pump Station,12019
Witzands Water Treatment Plant,12046
Glen Garry Reservoir,12052
Mountain View Pump Station,12060
Hanover Park Clinic,12099
Nontulo Sports Ground,12100
Athlone Swimming Pool,12141
Lotus River Library,12142
Brackenfell Fire Station,12173
Gugulethu Indoor Sports Centre,12190
Observatory Metro Police Academy,11198
Mitchells Plain (Poly Clinic),11216
Klipheuwel WWTW,11913
Harare/ Khayelitsha Environmental Health Office,11925
Mamre Clinic,11936
Beach Road Sewage Pump Station,12000
Wynberg Fire Station,12044
Muizenberg Traffic Centre,12067
Rocklands Clinic,12084
Meadowridge Library,12091
Athlone Civic Centre,12162
Woodlands Community Centre,12178
"Simonstown Pump Station no. 9, Main Road",11049
Queens Beach Sewage Pump,11070
Cape Town Central Fire Station,11090
Fezeka Municipal Building,11106
"Mnandi Beach Pump Station, Mitchells Plain (constable)",11108
Pump Station: Civic Centre C6,11112
Weltevreden/ Tafelsig Depot,11137
