Facility Name (alternative name),Facility Key Number
Mouille Point Public Toilet,11145
Swartklip Rd Pump Station Mitchells Plain (Area L),11176
Mitchells Plain Cash Office,11217
Mitchells Plain Hall,11219
Khayelitsha Training Centre,11246
Hout Bay WWTW Outfall,11868
Trafalgar Swimming Pool,11882
Zandvliet WWTW,11953
Du Noon Walk-in/ Resource Centre,11957
Phillipi Island Centre,12012
Smuts Avenue Pump Station,12047
Llandudno WWTW Outfall,12056
Bahrain Drive Substation,12062
Turfhall Stadium,12108
Ravensmead Swimming Pool,12193
Masemola Road Station,12299
Century Way Pump Station,12328
Southfield Library,11912
Lotus River Clinic,11951
Pinelands Library,11986
Elukhanyisweni Recreation Centre,12006
Lansdowne Clinic,12010
Phillipi B Resource Centre,12011
Electricity House Electricity Building,12021
Eikendal Library,12025
Kewtown Housing Office and Warehouse,12087
Lentegeur Sports Ground,12106
Durbanville Community Hall,12120
Matopo Road Pump Station,11998
Tokai Library,12024
Bloubergstrand Library,12027
Melkbos Fire Station,12088
Ottery Fernes Sports Club,12126
Honeyside Road Clinic,12130
PD Paulse Library,12205
Eastridge Swimming Pool,12208
Ravensmead Waste Drop-Off Site,12305
Glencairn  Pump Station (Da Gama Park Pump Station),12346
Lupin Cresent Pump Station,12369
Monterey Pump Station & Reservoir,12379
Newlands Reservoirs Water Treatment Plant,11207
Cape Town Central Library,11221
Camps Bay WWTW Outfall,11870
Blue Waters Resort,11938
Langa Clinic,11969
Albow Gardens Clinic,11971
Techno Crescent Pump Station,11992
Reuben Kaye Road Pump Station,11996
Epping Fire Station,12018
Ravensmead Library,12031
Brackenfell Disaster Risk Management Centre,12095
Bonteheuwel Library and Housing Office,11933
Diamant Sports Ground,11940
Witzand Walk-in Centre,11954
7th Avenue Elsiesrivier Pump Station,11997
Masiphumelele Fire Station,12023
Parow Traffic Centre,12036
Bellville Environmental Health Office,12040
Kraaifontein Integrated Waste Management Facility,12051
Cape Town Stadium,12055
Lakeside Fire Station,12122
Belrail Traffic Centre,12168
Morning Star Swimming Pool,12215
Harmony Park Resort,11941
Royal Road Sewage Pump Station,11999
Hout Bay Sports Ground,12004
Ravensmead Multi Purpose Centre,12008
Ocean View Community Centre,12113
Maitland Town Hall,12196
Kildare Pump Station,12199
Lentegeur Swimming Pool,12212
Wesfleur Sports Ground,12218
Rebecca van Amsterdam Community Hall,12230
Cathkin Cash Office,12252
Silvertown Clinic,11930
Rylands Community Hall,11975
Farad Street Pump Station,12032
Tygerberg Nature Reserve,12041
Kalksteenfontein Substation,12076
Bonteheuwel Law Enforcement Office,12124
Manenberg Swimming Pool,12158
Strand Fire Station,12170
Retreat Housing Office,12182
Saxonsea Community Hall,12183
Charles Morkel Sports Ground and Community Hall,12191
Durbanville Clinic,11961
Kuilsrivier Library,11984
Epping Circle Pump Station,11994
Woodstock Library,12015
Camps Bay Library,12020
Diadem Close Pump Station,12022
Imhoff Park Pump Station,12049
Rocklands Cash Office,12082
Ocean View Sports Ground,12092
Rondebosch Sports Ground,12107
Eikendal Clinic,12121
Atlantis Traffic Centre,12167
Mitchells Plain WWTW,11191
Athlone Stadium,11894
Bonteheuwel Sub-Council Offices,11956
Ravensmead Clinic,11977
Waterberry Crescent Pump Station,12038
Goodwood Fire Station,12066
Seawinds Clinic,12096
Hout Bay Fire Station,12109
Simons Town Fire Station,12114
Fish Hoek Resort,12211
Chapel Street Clinic,12219
Kraaifontein WWTW,11857
Simonstown Pump Station No 8,11878
Mowbray City Parks Depot,11888
Prestwich Transport Depot,11906
Parow Clinic,11923
Belhar Council Chambers Complex,11958
Weltevreden Valley Clinic,12013
Athlone Street Pump Station,12033
Betsie Verwoed Pump Station,12065
Kommetjie Pump Station 14,12069
Salt River Fire Station,12101
River Street Pump Station,12149
Lentegeur Municipal Building,34964702
Melkbosstrand WWTW,11864
Blackheath Water Treatment Plant,11892
Cape Town Solid Waste Depot,11893
Langa Pump Station,11895
Salt River Community Hall,11918
North Shore Pump Station,11946
Tafelsig Clinic,11988
Downing Street Pump Station,11995
Mitchells Plain PTI,12007
Zandvlei Resort,12043
Grassy Park Civic Centre,12085
Northpine Clinic,12229
Simon's Town Satellite Clinic,12241
De Grendel/Fifth Avenue Drop-Off,12274
Mandela Park Stadium,12298
Welgemoed Sports Complex,12316
11th Avenue Melkbosstrand Pump Station,12318
Bergvliet Pump Station,12323
Dalebrook Pump Station,12334
Queens Park Sports Ground,12396
Rocklands Pump Station,12407
Tafelberg Way Pump Station (Stone Hurst Pump Station),12419
The Ridge Pump Station,12422
Gugulethu Fire Station,12282
Tygerberg Nature Reserve 3,12313
Vulindlela Swimming Pool,12314
Hilary Close Pump Station (Lavender Hill),12353
Oakdale Pumpstation (Bulk Water Meter),12386
Portlands Community Hall,12440
Vanguard Depot Substation,12469
Mitchells Plain Transport Depot,12518
Prieska Street Pump Station,12560
Hazendal Clinic,12179
Schaapkraal Water Sanitation Depot,12308
Glencairn  Pump Station (Da Gama Park 16th Avenue Pump Station),12362
Retreat Low Lift Pump Station,12405
Sandy Bay Beach Pump Station (Absa Water Pump Station),12412
Tambo Road Pump Station,12420
Scottsdene Library,12443
Nerina Close Flats,12448
200 Yusuf Drive Flats,12460
Kuils River Clinic,12464
Goodwood Swimming Pool,12501
Heideveld Sport Ground,12519
Meadowridge Sport Ground,12214
Sarepta Sports Ground,12243
Khayelitsha Swimming Pool,12291
Louis Botha Pump Station,12367
Marina 9 Pump Station,12371
Odendaal Park,12387
Raapenberg Sewarage Pump Station - F2,12398
Sanlam Park Pump Station,12413
District 6 Housing,12467
Woodstock Hospital,12471
Mfuleni Community Hall,12502
Durbanville Rose Garden,12520
Ndabeni Medical Stores,12164
Saxonsea Clinic,12175
Ikwezi Community Centre,12185
Lwandle Municipal Building,12201
Bertie Genade Solid Waste Management Office,12267
Gugulethu Sport Field (NY 49 Sport ground),12283
Townsend Sewage Pump Station,12426
Tygerbooster Water Pump Station,12427
District 6 Housing,12468
Gugulethu Switching Station,12476
Plattekloof Reservior,12484
Masimphulele Sports Ground,12504
Parow North Swimming Pool,12227
Charles Morkel Stadium,12236
Century City East Pump Station,12327
De Waal Booster Pump Station,12338
Diluta Drive Pump Station,12342
Gold Street Pump Station (Northfate Main Pump Station),12347
Helderberg College Pump Station 2 ,12351
Marina Da Gama Pump Station No. 2,12372
Raapkraal Sewage Pump Station,12399
Timour Hall Pump Station,12424
Beacon Valley Community Hall,12446
Montague Drive Pump Station,12453
Westridge Swimming Pool,12551
Bantry Bay Sewage Pump Station,12256
Paardevlei Switching Station,12302
Pelican Park Clinic,12303
Marina Da Gama Pump Station No.4,12374
Morgandal Road Pump Station (Morkels Cottage/Allap-Boesak),12380
Stuckeris Street Substation,12384
Swaanswyk Lower Pump Station,12418
Khayelitsha Sportsground: Cricket Field,12434
Weltevreden Community Hall,12454
Valhalla Park Library,12558
Ndabeni Fleet Allocation,12258
Durbanville Traffic Centre,12279
Hout Bay Waste Drop Off Site,12289
Pella Reservoir,12304
Drommedariss Pump Station,12343
Red Hill Pump Station,12402
Merriman Road Pump Station,12450
Swanswyk Road Pump Station,12458
Strand Swimming Pool,12481
Platterkloof Pump Station ,12488
Molteno Road Law Enforcement Offices,12510
Jip De Jager Drive Pump Station,12538
Big Bay Sewage Pump Station,12110
Elizabeth Park,12115
Simonstown Pump Station No 13,12136
Scottsdene WWTW,12152
Wood Drive Sewage Pump Station,12174
Browns Farm Library,12225
Phillipi Clinic,12226
Mamre Sports Grounds,12234
Ashworth Park,12261
Bontheweul Main Substation,12269
Johnson Road Sports Ground,12315
Kenneth Road Pump Station,12357
Naomi Street Pumpstation,12382
Kommetjie PTI,12457
Sacks Circle Water And Sanitation Depot,12466
Hendon Park Chalets,12479
Sarepta 1 Pumpstation,12495
Big Bay Public Toilets & Lifesaving Club,12505
Peninsula Golf Driving Range - Clubhouse,12522
Helderberg Coastal Sewer,12559
Castle Street Electricity Depot,12564
Loevenstein Pump Station,12499
Summer Greens Community Hall,12515
Goodwood Administrative Office,12526
Monte Vista Sports Ground,12546
Grassy Park Clinic,12537
Prince George Drive Pump Station,12395
Scarborough Pump Station,12414
Sacks Circle Pump Station,12465
Goodwood Civic Centre,12487
Dido Valley Road Pump Station ,12503
Grassy Park Sports Complex,12548
Atlantis Swimming Pool,12217
Cycle Substation,12244
Athlone Library,12262
Bellville South Sport Ground,12264
Hospital Reservoir,12286
Hout Bay Dune Rehabilitation Project,12287
Langeberg Pump Station,12365
Mount Rhodes Pump Station,12381
Sand River Pump Station ,12411
Welgedacht Pump Station,12498
Brackenfell Cricket Club ,12545
Gordons Bay Waste Drop-Off Site,12565
Weltevreden Valley Community Hall,12216
Hout Bay Clinic,12220
Cathkin Commuinity Hall,12253
Gugulethu Library ,12281
Khayelitsha Stadium,12290
Langa Cemetery,12293
Meurant Street Pump Station,12377
Welgelegen Waste Drop-Off Pump Station,12430
Helderberg Nature Reserve Substation,12485
Oliver Tambo Indoor Centre,12508
Hendon Park 2,12237
Sacks Circle Substation,12257
Lilian Avenue Law Enforcement Office,12296
Alphen Pump Station ,12319
Harrington Street Pump Station,12350
Helderberg College Road Pump Station,12352
Marina Da Gama Pump Station No. 3,12373
Khayelitsha MPC: Community Hall,12445
Buitengracht Pedestrial Bridge,12473
Helderberg College 1 Pump Station,12477
Cape Point Nature Reserve,12482
Parow Nature Reserve,12483
Bill Bezuidenhout Pump Station,12324
Keyser Pump Station,12358
Mamre Pump Station,12370
Nooiensfontein Pump Station ,12385
Phoenix Park Pump Station,12391
Eersterivier Multi-Purpose Centre,12444
Adderley Street MyCiti Bus Station,12528
Bo-kaap Flats Block ,12562
Eerste River Library,12438
Mosselbank Pump Station,12486
Bellville Library,12494
Sherwood Park Recreation Centre,12511
Constantia Sport Centre,12527
Dennegeur Pump Station,12340
Price Drive Pump Station,12394
Welgemoed Water Pump Station,12431
Phumlani Clinic,12432
Bridgetown Community Centre,12436
Scottsdene Housing Office,12442
Sipres Road Pump Station,12449
Strand Golf Course,12462
Glen-Green Point Sport & Recreational Club,12535
CBD Parade Cleansing Depot,12542
Upper Wash House & Hoerikwaggo Trail Office,12561
Bellville Netball Club,12491
Heideveld Community Centre,12509
Zolani Multi-Purpose Centre,12513
Strandfontein Hall,12521
Bellville WWTW,11855
Simonstown WWTW,11858
Sarepta Traffic Operations,11881
Mamre Municipal Building,11926
Springbokpark Municipal Office,11950
Mitchells Plain Environmental Health Office,11972
Spencer Road Clinic,11985
Kloof Street Library,12039
Simonstown Pump Station no. 12,12050
Warwick Square Pump Station,12070
Sea Point Beach Road Substation,12074
Ocean View Clinic,12090
Hout Bay Electricity Depot,12288
Dido Valley Fresh Water Pump Station,12339
Metro Pump Station,12376
Red Hill Road Squatters Pump Station,12403
Rugby Pump Station (Brooklyn Chest),12408
Camps Bay Bowling Club,12451
Schotsche Kloof Flats,12459
Philippi Main Station,12470
Parow Health & City Parks Facilities,12490
Jack Miller Park,12496
Verbena Pump Station,12500
Chukker Road Sportsground,12514
Bellville Stadium,12552
Ocean View Library,12094
Retreat Library,12098
Cross Roads 2 Clinic,12112
Saxonsea Educare Centre,12184
Muizenberg Swimming Pool,12192
Parow Valley Swimming Pool,12228
Smart Living Training Centre (Swiss Club),12231
Simons Town Civic Centre,12240
De Novo Pump Station (Hout Street Pump Station),12361
Milnerton Drive Pump Station,12378
Rietvlei Pump Station,12406
San Michelle Pump Station,12410
The Range Sewage Pump Station,12421
Uxbridge Pump Station,12429
Radnor Composting Site,12463
Loch Road Main Station,12472
Bay Road Pump Station,12474
Induland Drop-Off,12534
Moullie Point Park + Adventure Park,12553
Sea Point Fire Station,12016
Vuyani Clinic,12017
Kensington Civic Centre,12139
Brackenfell Traffic Department,12153
Newfields Estate Public Clinic,12159
Muizenberg Civic Centre and Area Office,12161
Steenberg Housing Maintenance/ Workshop,12181
Lavender Hill Clinic,12188
Ndabeni Workshop Mechanical Engineering Workshop,12245
Arderne Gardens,12260
Collen Way Substation,12271
Crossroads Library,12272
Granary Building,12280
Constantia Meadow Pump Station,12337
Retreat Ext 13 Pump Station,12404
Southfield Pump Station (Victoria Road Pump Station),12415
Thibault Road Pump Station (Marina Da Gama No. 7),12423
Old Oak Reservoir,12492
Proteaville Recreation Centre,12497
Hangberg Sports and Recreation Hall,12516
Milnerton Community Centre ,12300
Canal Road Pump Station,12326
Elfindale Pump Station,12344
Joe Slovo Street Pump Station,12355
Range Road Pump Station,12401
Uitsig Pump Station,12428
Scottsdene Clinic,12441
Alphen Clinic,12512
Woodland Sport Ground,12547
Swartklip Sports Complex,12097
Lavender Hill Community Centre,12117
Atlantis Fire Station,12154
Thusong Centre,12166
Sawkins Road Substation,12249
Bridgetown Pump Station,12254
Harbouredge Pump Station,12348
Houtbay Heights Pump Station,12354
Raapenberg Sewarage Pump Station - F1,12397
Race Course Pump Station,12400
Princess Avenue Pump Station,12456
Helderberg Nature Reserve,12517
Browns Farm Community Hall,12224
"Brookland Water Treatment Plant, Red Hill",12270
Northwood Hall,12301
Aurora Water Pump Station (Robinson Street Pump Station),12322
Clifton Road Pump Station,12331
Harold Ashwell Boulevard Pump Station,12349
Klein Constantia Road Pump Station,12359
Lobelia Community Hall,12439
Noordelikes Tygerberg Rugby Club,12489
Newlands Swimming Pool,12549
Bonteheuwel Sports Ground,12566
Factreton Swimming Pool,12137
Schaapkraal Solid Waste Drop Off Site,12197
Browns Farm Swimming Pool,12223
Lotus River Sport and Recreation Centre,12297
Andrag Pump Station,12320
Ascot Sewage Pump Station ,12321
Clan Stewart Street Pump Station,12330
Alf Street Pump Station,12336
Glencairn Pump Station,12345
Lourens River Pump Station,12368
Pelican Park Pump No. 1 Station,12390
Steel Doors Pump Station,12416
Durbanville Sportsground,12524
Tygerberg Nature Reserve,12533
Brackenfell Cricket Club ,12557
Forest Drive Pump Station,12452
Schotsche Kloof Flats,12461
Tygerberg Reservoir,12493
Parow Park Municipal Flats,12567
Brooklyn Fire Station,12172
Bonteheuwel Multi Purpose Centre,12202
Durbanville Law Enforcement,12277
Somerset West Driver's Licence Testing Centre,12309
Somerset West Main Road Hydrological Station,12310
Bokmakierie Pump Station,12325
Charles Hoffe Pump Station,12329
Kapteins Baai Pump Station ,12356
Langeberg Reservoir Water Pump Station,12366
Tokai Sewage Pump Station ,12425
Cravenby Community Hall,12433
Three Anchor Bay Stomwater Pump Station,12475
Strand Street Pump Station,12525
Dr Ivan Toms CDC,12529
Durbanville Sport Ground,12550
Duncan Road Pump Station,12556
,
*Annual consumption is always for the last three years.,
